,train,val,test
0,lvUA4X,vCzUF4,rTctHL
1,MDV5Rc,GiN49j,JsMnPW
2,n5fJrF,umZ6Pz,FsPQEn
3,NhuO23,lwVP6E,ZlMKHL
4,nk0S5Z,nW8hFL,IQuXci
5,nNdbIt,4YkgEn,2afRKJ
6,ONhBJ6,sjNL2v_Annotation1,SlkhJD_Annotation0
7,P9Eias,0EtQnY_Annotation2,E7Fdk3_Annotation2
8,PqOrve,sjNL2v_Annotation6,gQ9GVs_Annotation2
9,Q8Bnb0,TNoPDe_Annotation2,TNoPDe_Annotation1
10,qpRQun,4RvIGs_Annotation2,4RvIGs_Annotation0
11,3N2dJL,vKMWGS_Annotation1,NxCwHc_Annotation1
12,sA2ZM0,lOeQc6_Annotation0,BOq25i_Annotation0
13,swV0xu,Yhd7Ra_Annotation0,bCG3TP_Annotation2
14,tKzfAR,jS9TPt_Annotation1,X9q3Eh_Annotation0
15,3OVsha,vKMWGS_Annotation0,qH1GYN_Annotation3
16,uTZWMa,IxbDhm_Annotation0,jS9TPt_Annotation2
17,wB93H0,HWVxb2_Annotation2,gocbOa_Annotation0
18,whiTGy,8qeF2g_Annotation0,FovBwE_Annotation1
19,wszbI3,gocbOa_Annotation2,utPRO6_Annotation1
20,3tuv07,W2dQEh_Annotation1,A9bd2s_Annotation1
21,XgWwjn,A9bd2s_Annotation2,XW2bYV_Annotation0
22,Y9pQCd,shXJel_Annotation1,shXJel_Annotation0
23,3w9WHG,fyu95S_Annotation0,oZPnQs_Annotation0
24,ZAvOai,j1xW68_Annotation1,XMK1pe_Annotation1
25,6kaxlQ,ILrv2X_Annotation1,In8Sq1_Annotation1
26,7GzdeM,cvQ0pB_Annotation1,4bOMq6_Annotation0
27,7WSmJO,dMuni0_Annotation0,iDaZ0k_Annotation0
28,A74QTy,,
29,brA3nM,,
30,1gwBov,,
31,dHLDGM,,
32,dtbjTH,,
33,e5Rni8,,
34,EW3Azf,,
35,f4a58r,,
36,F7XIia,,
37,FuCdb9,,
38,Gn7rZs,,
39,gQZl8x,,
40,GVzg7T,,
41,Gwpv0C,,
42,Ha4WLs,,
43,HRolf8,,
44,hv8OBd,,
45,JGLV34,,
46,FIt0oz_Annotation0,,
47,sjNL2v_Annotation4,,
48,0EtQnY_Annotation0,,
49,0EtQnY_Annotation1,,
50,0EtQnY_Annotation3,,
51,4RvIGs_Annotation1,,
52,5ErQmA_Annotation0,,
