,train,val,test
0,4YkgEn,FuCdb9,GVzg7T
1,lwVP6E,dtbjTH,ZAvOai
2,MDV5Rc,7GzdeM,1gwBov
3,n5fJrF,lvUA4X,XgWwjn
4,nk0S5Z,NhuO23,JGLV34
5,nNdbIt,ONhBJ6,e5Rni8
6,nW8hFL,sjNL2v_Annotation5,E7Fdk3_Annotation4
7,P9Eias,k2vKOR_Annotation0,E7Fdk3_Annotation2
8,PqOrve,v3bgUf_Annotation2,4RvIGs_Annotation2
9,Q8Bnb0,ned6fL_Annotation1,E7Fdk3_Annotation0
10,qpRQun,4RvIGs_Annotation0,v3bgUf_Annotation0
11,rTctHL,lOeQc6_Annotation1,k1F4rf_Annotation3
12,3N2dJL,p6NHOy_Annotation0,jE54pD_Annotation0
13,sA2ZM0,mzwqO8_Annotation0,NxCwHc_Annotation1
14,swV0xu,jS9TPt_Annotation0,ONGwY0_Annotation1
15,tKzfAR,vKMWGS_Annotation0,qH1GYN_Annotation1
16,3OVsha,ZsE0Rr_Annotation1,7hsLmf_Annotation1
17,umZ6Pz,utPRO6_Annotation1,iLujYN_Annotation1
18,uTZWMa,90G12W_Annotation0,gocbOa_Annotation0
19,vCzUF4,i0x1Yw_Annotation0,iLujYN_Annotation0
20,wB93H0,8qeF2g_Annotation0,iLujYN_Annotation3
21,whiTGy,YbNhWS_Annotation1,bwpTxS_Annotation0
22,wszbI3,uCFSwz_Annotation1,In8Sq1_Annotation1
23,3tuv07,shXJel_Annotation0,LJ2oh9_Annotation3
24,Y9pQCd,gfmsYU_Annotation3,9EmdcO_Annotation4
25,3w9WHG,DsYoJN_Annotation0,oxc1Ep_Annotation0
26,ZlMKHL,LJ2oh9_Annotation1,dMuni0_Annotation1
27,6kaxlQ,PGyYKA_Annotation0,Q1fFSt_Annotation0
28,7WSmJO,,
29,A74QTy,,
30,brA3nM,,
31,dHLDGM,,
32,EW3Azf,,
33,f4a58r,,
34,F7XIia,,
35,FsPQEn,,
36,GiN49j,,
37,Gn7rZs,,
38,gQZl8x,,
39,Gwpv0C,,
40,Ha4WLs,,
41,HRolf8,,
42,hv8OBd,,
43,2afRKJ,,
44,IQuXci,,
45,JsMnPW,,
46,FIt0oz_Annotation0,,
47,sjNL2v_Annotation4,,
48,0EtQnY_Annotation0,,
49,0EtQnY_Annotation1,,
50,0EtQnY_Annotation2,,
51,0EtQnY_Annotation3,,
52,4RvIGs_Annotation1,,
53,5ErQmA_Annotation0,,
54,bkZz45_Annotation0,,
55,bkZz45_Annotation1,,
56,E7Fdk3_Annotation1,,
57,E7Fdk3_Annotation3,,
58,FaZrEM_Annotation0,,
59,gQ9GVs_Annotation0,,
60,gQ9GVs_Annotation1,,
61,gQ9GVs_Annotation2,,
62,gQ9GVs_Annotation3,,
63,j4tpoY_Annotation0,,
64,k2vKOR_Annotation1,,
65,ned6fL_Annotation0,,
66,ned6fL_Annotation2,,
67,QHp8qx_Annotation0,,
68,sjNL2v_Annotation0,,
69,sjNL2v_Annotation1,,
70,sjNL2v_Annotation2,,
71,sjNL2v_Annotation3,,
72,sjNL2v_Annotation6,,
73,sjNL2v_Annotation7,,
74,sjNL2v_Annotation8,,
75,sjNL2v_Annotation9,,
76,SlkhJD_Annotation0,,
77,SlkhJD_Annotation1,,
78,SlkhJD_Annotation2,,
79,TNoPDe_Annotation0,,
80,TNoPDe_Annotation1,,
81,TNoPDe_Annotation2,,
82,TNoPDe_Annotation3,,
83,TNoPDe_Annotation4,,
84,TNoPDe_Annotation5,,
85,TNoPDe_Annotation6,,
86,v3bgUf_Annotation1,,
87,v3bgUf_Annotation3,,
88,zUVJpv_Annotation0,,
89,zUVJpv_Annotation1,,
90,mprY6z_Annotation3,,
91,0mLlB3_Annotation0,,
92,0mLlB3_Annotation1,,
93,0mLlB3_Annotation2,,
94,7hsLmf_Annotation0,,
95,7syaIe_Annotation0,,
96,7syaIe_Annotation1,,
97,aYrFpJ_Annotation0,,
98,bCG3TP_Annotation0,,
99,bCG3TP_Annotation1,,
100,bCG3TP_Annotation2,,
101,BOq25i_Annotation0,,
102,Epg8fC_Annotation0,,
103,Epg8fC_Annotation1,,
104,f83i1F_Annotation0,,
105,IxbDhm_Annotation0,,
106,jE54pD_Annotation1,,
107,jS9TPt_Annotation1,,
108,jS9TPt_Annotation2,,
109,jS9TPt_Annotation3,,
110,k1F4rf_Annotation0,,
111,k1F4rf_Annotation1,,
112,k1F4rf_Annotation2,,
113,lOeQc6_Annotation0,,
114,lOeQc6_Annotation2,,
115,lOeQc6_Annotation3,,
116,mprY6z_Annotation0,,
117,mprY6z_Annotation1,,
118,mprY6z_Annotation2,,
119,mprY6z_Annotation4,,
120,NxCwHc_Annotation0,,
121,NxCwHc_Annotation2,,
122,NxCwHc_Annotation3,,
123,ONGwY0_Annotation0,,
124,qH1GYN_Annotation0,,
125,qH1GYN_Annotation2,,
126,qH1GYN_Annotation3,,
127,sftB1x_Annotation0,,
128,vKMWGS_Annotation1,,
129,w4T7Al_Annotation0,,
130,w4T7Al_Annotation1,,
131,X9q3Eh_Annotation0,,
132,X9q3Eh_Annotation1,,
133,Yhd7Ra_Annotation0,,
134,ZsE0Rr_Annotation0,,
135,ZSVMWI_Annotation0,,
136,ZSVMWI_Annotation1,,
137,4NlObP_Annotation0,,
138,4NlObP_Annotation1,,
139,4NlObP_Annotation2,,
140,8qeF2g_Annotation1,,
141,8qeF2g_Annotation2,,
142,8Yev5y_Annotation0,,
143,90G12W_Annotation1,,
144,A9bd2s_Annotation0,,
145,A9bd2s_Annotation1,,
146,A9bd2s_Annotation2,,
147,ANnzHR_Annotation0,,
148,ANnzHR_Annotation1,,
149,Au0o8g_Annotation0,,
150,Au0o8g_Annotation1,,
151,bwpTxS_Annotation1,,
152,bwpTxS_Annotation2,,
153,Ct2I6N_Annotation0,,
154,FovBwE_Annotation0,,
155,FovBwE_Annotation1,,
156,GKPBox_Annotation0,,
157,GKPBox_Annotation1,,
158,gocbOa_Annotation1,,
159,gocbOa_Annotation2,,
160,HWVxb2_Annotation1,,
161,HWVxb2_Annotation2,,
162,iLujYN_Annotation2,,
163,k2dEAy_Annotation0,,
164,k2dEAy_Annotation1,,
165,k7AVJp_Annotation0,,
166,HWVxb2_Annotation0,,
167,k7AVJp_Annotation1,,
168,mfT7JA_Annotation0,,
169,mfT7JA_Annotation1,,
170,mfT7JA_Annotation2,,
171,oA7BpV_Annotation0,,
172,utPRO6_Annotation0,,
173,W2dQEh_Annotation0,,
174,W2dQEh_Annotation1,,
175,XW2bYV_Annotation0,,
176,YbNhWS_Annotation0,,
177,YxRM16_Annotation0,,
178,YxRM16_Annotation1,,
179,ZEa8xJ_Annotation0,,
180,ZEa8xJ_Annotation1,,
181,cvQ0pB_Annotation3,,
182,j1xW68_Annotation0,,
183,3KbrNI_Annotation0,,
184,3KbrNI_Annotation1,,
185,3mBlV0_Annotation0,,
186,3mBlV0_Annotation1,,
187,4bOMq6_Annotation0,,
188,4bOMq6_Annotation1,,
189,9EmdcO_Annotation0,,
190,9EmdcO_Annotation1,,
191,9EmdcO_Annotation2,,
192,9EmdcO_Annotation3,,
193,COTaNd_Annotation0,,
194,cUM1B6_Annotation0,,
195,cvQ0pB_Annotation0,,
196,cvQ0pB_Annotation1,,
197,cvQ0pB_Annotation2,,
198,dMuni0_Annotation0,,
199,DsYoJN_Annotation1,,
200,fyu95S_Annotation0,,
201,fyu95S_Annotation1,,
202,gfmsYU_Annotation0,,
203,gfmsYU_Annotation1,,
204,gqwJQM_Annotation0,,
205,I2rQnw_Annotation0,,
206,iDaZ0k_Annotation0,,
207,ILrv2X_Annotation0,,
208,ILrv2X_Annotation1,,
209,In8Sq1_Annotation0,,
210,j1xW68_Annotation1,,
211,LJ2oh9_Annotation0,,
212,LJ2oh9_Annotation2,,
213,oBZXwc_Annotation0,,
214,OWUqoi_Annotation0,,
215,OWUqoi_Annotation1,,
216,OWUqoi_Annotation2,,
217,OWUqoi_Annotation3,,
218,oxc1Ep_Annotation1,,
219,oxc1Ep_Annotation2,,
220,oxc1Ep_Annotation3,,
221,oZPnQs_Annotation0,,
222,Q1fFSt_Annotation1,,
223,Q1fFSt_Annotation3,,
224,R95Ffo_Annotation0,,
225,shXJel_Annotation1,,
226,uCFSwz_Annotation0,,
227,VUpzLm_Annotation0,,
228,VUpzLm_Annotation1,,
229,XgJ2WQ_Annotation0,,
230,XMK1pe_Annotation0,,
231,XMK1pe_Annotation1,,
232,XMK1pe_Annotation2,,
233,XMK1pe_Annotation3,,
