,train,val,test
0,4YkgEn,lwVP6E,FuCdb9
1,lvUA4X,nW8hFL,2afRKJ
2,MDV5Rc,6kaxlQ,nNdbIt
3,NhuO23,e5Rni8,7WSmJO
4,nk0S5Z,GVzg7T,3N2dJL
5,ONhBJ6,n5fJrF,dHLDGM
6,P9Eias,TNoPDe_Annotation5,5ErQmA_Annotation0
7,PqOrve,v3bgUf_Annotation3,TNoPDe_Annotation2
8,Q8Bnb0,E7Fdk3_Annotation1,v3bgUf_Annotation0
9,qpRQun,E7Fdk3_Annotation2,TNoPDe_Annotation3
10,rTctHL,FIt0oz_Annotation0,E7Fdk3_Annotation4
11,sA2ZM0,k1F4rf_Annotation1,mzwqO8_Annotation0
12,swV0xu,jE54pD_Annotation1,k1F4rf_Annotation2
13,tKzfAR,lOeQc6_Annotation0,w4T7Al_Annotation1
14,3OVsha,f83i1F_Annotation0,NxCwHc_Annotation2
15,umZ6Pz,0mLlB3_Annotation2,X9q3Eh_Annotation1
16,uTZWMa,lOeQc6_Annotation1,jE54pD_Annotation0
17,vCzUF4,mfT7JA_Annotation1,8qeF2g_Annotation2
18,wB93H0,iLujYN_Annotation3,mfT7JA_Annotation0
19,whiTGy,90G12W_Annotation1,8qeF2g_Annotation0
20,wszbI3,A9bd2s_Annotation0,FovBwE_Annotation0
21,3tuv07,iLujYN_Annotation1,k2dEAy_Annotation1
22,XgWwjn,Q1fFSt_Annotation3,9EmdcO_Annotation1
23,Y9pQCd,R95Ffo_Annotation0,XMK1pe_Annotation2
24,3w9WHG,In8Sq1_Annotation0,gfmsYU_Annotation1
25,ZAvOai,OWUqoi_Annotation3,ILrv2X_Annotation0
26,ZlMKHL,fyu95S_Annotation1,3KbrNI_Annotation1
27,7GzdeM,3mBlV0_Annotation1,cUM1B6_Annotation0
28,A74QTy,,
29,brA3nM,,
30,1gwBov,,
31,dtbjTH,,
32,EW3Azf,,
33,f4a58r,,
34,F7XIia,,
35,FsPQEn,,
36,GiN49j,,
37,Gn7rZs,,
38,gQZl8x,,
39,Gwpv0C,,
40,Ha4WLs,,
41,HRolf8,,
42,hv8OBd,,
43,IQuXci,,
44,JGLV34,,
45,JsMnPW,,
46,sjNL2v_Annotation4,,
47,0EtQnY_Annotation0,,
48,0EtQnY_Annotation1,,
49,0EtQnY_Annotation2,,
50,0EtQnY_Annotation3,,
51,4RvIGs_Annotation0,,
52,4RvIGs_Annotation1,,
53,4RvIGs_Annotation2,,
54,bkZz45_Annotation0,,
55,bkZz45_Annotation1,,
