,train,val,test
0,lvUA4X,4YkgEn,GiN49j
1,lwVP6E,NhuO23,nk0S5Z
2,MDV5Rc,7WSmJO,FuCdb9
3,n5fJrF,qpRQun,JGLV34
4,nNdbIt,FsPQEn,Q8Bnb0
5,nW8hFL,HRolf8,Gwpv0C
6,ONhBJ6,TNoPDe_Annotation4,k2vKOR_Annotation0
7,P9Eias,QHp8qx_Annotation0,TNoPDe_Annotation0
8,PqOrve,sjNL2v_Annotation2,0EtQnY_Annotation1
9,rTctHL,sjNL2v_Annotation0,TNoPDe_Annotation5
10,3N2dJL,gQ9GVs_Annotation2,E7Fdk3_Annotation3
11,sA2ZM0,BOq25i_Annotation0,lOeQc6_Annotation2
12,swV0xu,ONGwY0_Annotation1,X9q3Eh_Annotation0
13,tKzfAR,sftB1x_Annotation0,vKMWGS_Annotation1
14,3OVsha,k1F4rf_Annotation1,qH1GYN_Annotation3
15,umZ6Pz,aYrFpJ_Annotation0,mprY6z_Annotation0
16,uTZWMa,ONGwY0_Annotation0,Epg8fC_Annotation0
17,vCzUF4,bwpTxS_Annotation2,4NlObP_Annotation2
18,wB93H0,gocbOa_Annotation1,W2dQEh_Annotation0
19,whiTGy,k7AVJp_Annotation0,YxRM16_Annotation0
20,wszbI3,A9bd2s_Annotation2,k7AVJp_Annotation1
21,3tuv07,8Yev5y_Annotation0,YbNhWS_Annotation0
22,XgWwjn,R95Ffo_Annotation0,Q1fFSt_Annotation0
23,Y9pQCd,4bOMq6_Annotation1,gqwJQM_Annotation0
24,3w9WHG,oZPnQs_Annotation0,4bOMq6_Annotation0
25,ZAvOai,j1xW68_Annotation1,ILrv2X_Annotation1
26,ZlMKHL,LJ2oh9_Annotation0,shXJel_Annotation1
27,6kaxlQ,j1xW68_Annotation0,oBZXwc_Annotation0
28,7GzdeM,,
29,A74QTy,,
30,brA3nM,,
31,1gwBov,,
32,dHLDGM,,
33,dtbjTH,,
34,e5Rni8,,
35,EW3Azf,,
36,f4a58r,,
37,F7XIia,,
38,Gn7rZs,,
39,gQZl8x,,
40,GVzg7T,,
41,Ha4WLs,,
42,hv8OBd,,
43,2afRKJ,,
44,IQuXci,,
45,JsMnPW,,
46,FIt0oz_Annotation0,,
47,sjNL2v_Annotation4,,
48,0EtQnY_Annotation0,,
49,0EtQnY_Annotation2,,
50,0EtQnY_Annotation3,,
51,4RvIGs_Annotation0,,
52,4RvIGs_Annotation1,,
53,4RvIGs_Annotation2,,
54,5ErQmA_Annotation0,,
55,bkZz45_Annotation0,,
56,bkZz45_Annotation1,,
57,E7Fdk3_Annotation0,,
58,E7Fdk3_Annotation1,,
59,E7Fdk3_Annotation2,,
60,E7Fdk3_Annotation4,,
61,FaZrEM_Annotation0,,
62,gQ9GVs_Annotation0,,
63,gQ9GVs_Annotation1,,
64,gQ9GVs_Annotation3,,
65,j4tpoY_Annotation0,,
66,k2vKOR_Annotation1,,
67,ned6fL_Annotation0,,
68,ned6fL_Annotation1,,
69,ned6fL_Annotation2,,
70,sjNL2v_Annotation1,,
71,sjNL2v_Annotation3,,
72,sjNL2v_Annotation5,,
73,sjNL2v_Annotation6,,
74,sjNL2v_Annotation7,,
75,sjNL2v_Annotation8,,
76,sjNL2v_Annotation9,,
77,SlkhJD_Annotation0,,
78,SlkhJD_Annotation1,,
79,SlkhJD_Annotation2,,
80,TNoPDe_Annotation1,,
81,TNoPDe_Annotation2,,
82,TNoPDe_Annotation3,,
83,TNoPDe_Annotation6,,
84,v3bgUf_Annotation0,,
85,v3bgUf_Annotation1,,
86,v3bgUf_Annotation2,,
87,v3bgUf_Annotation3,,
88,zUVJpv_Annotation0,,
89,zUVJpv_Annotation1,,
90,jE54pD_Annotation0,,
91,mprY6z_Annotation3,,
92,0mLlB3_Annotation0,,
93,0mLlB3_Annotation1,,
94,0mLlB3_Annotation2,,
95,7hsLmf_Annotation0,,
96,7hsLmf_Annotation1,,
97,7syaIe_Annotation0,,
98,7syaIe_Annotation1,,
99,bCG3TP_Annotation0,,
100,bCG3TP_Annotation1,,
101,bCG3TP_Annotation2,,
102,Epg8fC_Annotation1,,
103,f83i1F_Annotation0,,
104,IxbDhm_Annotation0,,
105,jE54pD_Annotation1,,
106,jS9TPt_Annotation0,,
107,jS9TPt_Annotation1,,
108,jS9TPt_Annotation2,,
109,jS9TPt_Annotation3,,
110,k1F4rf_Annotation0,,
111,k1F4rf_Annotation2,,
112,k1F4rf_Annotation3,,
113,lOeQc6_Annotation0,,
114,lOeQc6_Annotation1,,
115,lOeQc6_Annotation3,,
116,mprY6z_Annotation1,,
117,mprY6z_Annotation2,,
118,mprY6z_Annotation4,,
119,mzwqO8_Annotation0,,
120,NxCwHc_Annotation0,,
121,NxCwHc_Annotation1,,
122,NxCwHc_Annotation2,,
123,NxCwHc_Annotation3,,
124,p6NHOy_Annotation0,,
125,qH1GYN_Annotation0,,
126,qH1GYN_Annotation1,,
127,qH1GYN_Annotation2,,
128,vKMWGS_Annotation0,,
129,w4T7Al_Annotation0,,
130,w4T7Al_Annotation1,,
131,X9q3Eh_Annotation1,,
132,Yhd7Ra_Annotation0,,
133,ZsE0Rr_Annotation0,,
134,ZsE0Rr_Annotation1,,
135,ZSVMWI_Annotation0,,
136,ZSVMWI_Annotation1,,
137,4NlObP_Annotation0,,
138,4NlObP_Annotation1,,
139,8qeF2g_Annotation0,,
140,8qeF2g_Annotation1,,
141,8qeF2g_Annotation2,,
142,90G12W_Annotation1,,
143,A9bd2s_Annotation0,,
144,A9bd2s_Annotation1,,
145,ANnzHR_Annotation0,,
146,ANnzHR_Annotation1,,
147,Au0o8g_Annotation0,,
148,Au0o8g_Annotation1,,
149,bwpTxS_Annotation0,,
150,bwpTxS_Annotation1,,
151,Ct2I6N_Annotation0,,
152,FovBwE_Annotation0,,
153,FovBwE_Annotation1,,
154,GKPBox_Annotation0,,
155,GKPBox_Annotation1,,
